run,setup_mode,workload,submit_always,sync_variant,posix_variant,duration,virt_size,free_target,page_table_factor,concurrency,evict_batch,reg_ring,reg_fds,reg_bufs,nvme_cmds,iopoll,ycsb_read_ratio,ycsb_tuple_count,tpcc_warehouses,libaio,num_workers,ycsb_zipf_theta,kernel,mitigations,node,num_ssds,ts,allocs,io_cycles,pt_%,bm_%,cycles/write,fixes/txn,restarts/txn,total_cycles,fiber_run,fixes,get_events,io_out,num_submits,pagefaults,reads,restart_alloc,restart_val,restarts,tps,wait_evict,wait_io,wait_lock,waits,writes
0,defer,ycsb,False,False,False,10000,4294967296,0.1,2.5,128,128,False,False,False,False,False,0,10000000,1,False,1,0.0,6.15.0-rc7,True,fn01,1,1,91488,0,0.021805,0.0872202,0,0,0,29509423758192,2,1359375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,defer,ycsb,False,False,False,10000,4294967296,0.1,2.5,128,128,False,False,False,False,False,0,10000000,1,False,1,0.0,6.15.0-rc7,True,fn01,1,2,210550,0,0.0501864,0.200746,0,0,0,2396482728,0,1768874,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,defer,ycsb,False,False,False,10000,4294967296,0.1,2.5,128,128,False,False,False,False,False,0,10000000,1,False,1,0.0,6.15.0-rc7,True,fn01,1,3,328401,0,0.0782931,0.313172,0,0,0,2396609568,0,1750971,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,defer,ycsb,False,False,False,10000,4294967296,0.1,2.5,128,128,False,False,False,False,False,0,10000000,1,False,1,0.0,6.15.0-rc7,True,fn01,1,4,445893,0,0.106308,0.425233,0,0,0,2396600928,0,1745639,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,defer,ycsb,False,False,False,10000,4294967296,0.1,2.5,128,128,False,False,False,False,False,0,10000000,1,False,1,0.0,6.15.0-rc7,True,fn01,1,5,562945,0,0.134217,0.536866,0,0,0,2396602776,0,1739087,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,defer,ycsb,False,False,False,10000,4294967296,0.1,2.5,128,128,False,False,False,False,False,0,10000000,1,False,1,0.0,6.15.0-rc7,True,fn01,1,6,679952,0,0.16211,0.648438,0,0,0,2396609568,0,1738438,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,defer,ycsb,False,False,False,10000,4294967296,0.1,2.5,128,128,False,False,False,False,False,0,10000000,1,False,1,0.0,6.15.0-rc7,True,fn01,1,7,779350,0,0.185807,0.743226,0,1,0,2396610912,112684,112685,0,0,0,0,0,0,0,0,112687,0,0,0,0,0
0,defer,ycsb,False,False,False,10000,4294967296,0.1,2.5,128,128,False,False,False,False,False,0,10000000,1,False,1,0.0,6.15.0-rc7,True,fn01,1,8,779350,0,0.185807,0.743226,0,1,0,2396614680,767062,767062,0,0,0,0,0,0,0,0,767061,0,0,0,0,0
0,defer,ycsb,False,False,False,10000,4294967296,0.1,2.5,128,128,False,False,False,False,False,0,10000000,1,False,1,0.0,6.15.0-rc7,True,fn01,1,9,779350,0,0.185807,0.743226,0,1,0,2396610336,762476,762476,0,0,0,0,0,0,0,0,762477,0,0,0,0,0
0,defer,ycsb,False,False,False,10000,4294967296,0.1,2.5,128,128,False,False,False,False,False,0,10000000,1,False,1,0.0,6.15.0-rc7,True,fn01,1,10,779350,0,0.185807,0.743226,0,0.999999,0,2396626944,763918,763917,0,0,0,0,0,0,0,0,763917,0,0,0,0,0
0,defer,ycsb,False,False,False,10000,4294967296,0.1,2.5,128,128,False,False,False,False,False,0,10000000,1,False,1,0.0,6.15.0-rc7,True,fn01,1,11,779350,0,0.185807,0.743226,0,1,0,2396513400,763075,763076,0,0,0,0,0,0,0,0,763076,0,0,0,0,0
0,defer,ycsb,False,False,False,10000,4294967296,0.1,2.5,128,128,False,False,False,False,False,0,10000000,1,False,1,0.0,6.15.0-rc7,True,fn01,1,12,779350,0,0.185807,0.743226,0,1,0,2396613096,764506,764506,0,0,0,0,0,0,0,0,764505,0,0,0,0,0
0,defer,ycsb,False,False,False,10000,4294967296,0.1,2.5,128,128,False,False,False,False,False,0,10000000,1,False,1,0.0,6.15.0-rc7,True,fn01,1,13,779350,0,0.185807,0.743226,0,1,0,2396608872,763789,763789,0,0,0,0,0,0,0,0,763790,0,0,0,0,0
